DATE,품목명,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%)
2023-12-13,토마토,75,8.0,11.940298507462686
2023-12-12,토마토,98,23.0,30.666666666666664
2023-12-11,토마토,106,8.0,8.16326530612245
2023-12-09,토마토,86,-20.0,-18.867924528301888
2023-12-08,토마토,127,41.0,47.674418604651166
2023-12-07,토마토,83,-44.0,-34.645669291338585
2023-12-06,토마토,64,-19.0,-22.89156626506024
2023-12-05,토마토,111,47.0,73.4375
2023-12-04,토마토,144,33.0,29.72972972972973
2023-12-01,토마토,160,16.0,11.11111111111111
2023-11-30,토마토,66,-94.0,-58.75
2023-11-29,토마토,62,-4.0,-6.0606060606060606
2023-11-28,토마토,116,54.0,87.09677419354838
2023-11-27,토마토,108,-8.0,-6.896551724137931
2023-11-25,토마토,69,-39.0,-36.11111111111111
2023-11-24,토마토,122,53.0,76.81159420289855
2023-11-23,토마토,84,-38.0,-31.147540983606557
2023-11-22,토마토,57,-27.0,-32.142857142857146
2023-11-21,토마토,74,17.0,29.82456140350877
2023-11-20,토마토,93,19.0,25.675675675675674
2023-11-18,토마토,79,-14.0,-15.053763440860216
2023-11-17,토마토,74,-5.0,-6.329113924050633
2023-11-16,토마토,86,12.0,16.216216216216218
2023-11-15,토마토,98,12.0,13.953488372093023
2023-11-14,토마토,96,-2.0,-2.0408163265306123
2023-11-13,토마토,135,39.0,40.625
2023-11-11,토마토,108,-27.0,-20.0
2023-11-10,토마토,90,-18.0,-16.666666666666664
2023-11-09,토마토,102,12.0,13.333333333333334
2023-11-08,토마토,109,7.0,6.862745098039216
2023-11-07,토마토,84,-25.0,-22.93577981651376
2023-11-06,토마토,171,87.0,103.57142857142858
2023-11-03,토마토,178,7.0,4.093567251461988
2023-11-02,토마토,94,-84.0,-47.19101123595505
2023-11-01,토마토,99,5.0,5.319148936170213
2023-10-31,토마토,118,19.0,19.19191919191919
2023-10-30,토마토,143,25.0,21.1864406779661
2023-10-28,토마토,91,-52.0,-36.36363636363637
2023-10-27,토마토,109,18.0,19.78021978021978
2023-10-26,토마토,84,-25.0,-22.93577981651376
2023-10-25,토마토,99,15.0,17.857142857142858
2023-10-24,토마토,105,6.0,6.0606060606060606
2023-10-23,토마토,124,19.0,18.095238095238095
2023-10-21,토마토,108,-16.0,-12.903225806451612
2023-10-20,토마토,99,-9.0,-8.333333333333332
2023-10-19,토마토,82,-17.0,-17.17171717171717
2023-10-18,토마토,77,-5.0,-6.097560975609756
2023-10-17,토마토,93,16.0,20.77922077922078
2023-10-16,토마토,110,17.0,18.27956989247312
2023-10-14,토마토,73,-37.0,-33.63636363636363
2023-10-13,토마토,79,6.0,8.21917808219178
2023-10-12,토마토,56,-23.0,-29.11392405063291
2023-10-11,토마토,71,15.0,26.785714285714285
2023-10-10,토마토,84,13.0,18.30985915492958
2023-10-09,토마토,132,48.0,57.14285714285714
2023-10-07,토마토,92,-40.0,-30.303030303030305
2023-10-06,토마토,117,25.0,27.173913043478258
2023-10-05,토마토,120,3.0,2.564102564102564
2023-10-04,토마토,143,23.0,19.166666666666668
2023-10-03,토마토,157,14.0,9.79020979020979
2023-10-02,토마토,231,74.0,47.13375796178344
2023-09-28,토마토,95,-136.0,-58.87445887445888
2023-09-27,토마토,203,108.0,113.68421052631578
2023-09-26,토마토,135,-68.0,-33.497536945812804
2023-09-25,토마토,185,50.0,37.03703703703704
2023-09-23,토마토,129,-56.0,-30.270270270270274
2023-09-22,토마토,84,-45.0,-34.883720930232556
2023-09-21,토마토,98,14.0,16.666666666666664
2023-09-20,토마토,116,18.0,18.367346938775512
2023-09-19,토마토,126,10.0,8.620689655172415
2023-09-18,토마토,190,64.0,50.79365079365079
2023-09-16,토마토,146,-44.0,-23.157894736842106
2023-09-15,토마토,166,20.0,13.698630136986301
2023-09-14,토마토,122,-44.0,-26.506024096385545
